"SYD51.CHW.CH1.ALM","","0 03 02","(ALARM           )","ALARM",""," *A3ACK*   NONE"
"SYD51.CHW.CH1.UNAVA",""," -Virtual-","(UNAVAILABLE     )","UNAVA",""," *A6ACK*   BN15"
"SYD51.CHW.CH2.ALM","","0 07 02","(ALARM           )","ALARM",""," *A3ACK*   NONE"
"SYD51.CHW.CH2.UNAVA",""," -Virtual-","(UNAVAILABLE     )","UNAVA",""," *A3ACK*   BN15"
"SYD51.CHW.CH3.ALM","","0 11 02","(ALARM           )","ALARM",""," *A3ACK*   NONE"
"SYD51.CHW.CH3.UNAVA",""," -Virtual-","(UNAVAILABLE     )","UNAVA",""," *A6ACK*   BN15"
"SYD51.DH2E3.CRAC03.ALARM","","0 06 01","(GEN ALARM OUTPUT)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH2E3.CRAC03.OAD.ALM",""," -Virtual-","(OAD DAMPER ALARM)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH2A1.CRAH02.ALARM","","0 06 01","(GEN ALARM OUTPUT)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH02.ALARM",""," -Virtual-","(GEN ALARM OUTPUT)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH02.FAN4.FLT",""," -Virtual-","(FAN4 FAULT      )","FAIL",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH02.SF.ALM",""," -Virtual-","(FAN ALARM       )","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH04.ALARM",""," -Virtual-","(GEN ALARM OUTPUT)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH04.FAN2.FLT",""," -Virtual-","(FAN2 FAULT      )","FAIL",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH04.SF.ALM",""," -Virtual-","(FAN ALARM       )","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH19.ALARM",""," -Virtual-","(GEN ALARM OUTPUT)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH19.FAN3.FLT",""," -Virtual-","(FAN3 FAULT      )","FAIL",""," *A3ACK*   BN15"
"SYD51.DH1A1.CRAH19.SF.ALM",""," -Virtual-","(FAN ALARM       )","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1A4.RF08.FL","","0 20 08","(RELIEF FAN FAULT)","ALARM",""," *A3ACK*   NONE"
"SYD51.M1E4.CRH.SAT.SPT.I","","0 01 04","(SETPOINT        )"," -5.8","DEG C"," *A3ACKF*  NONE"
"SYD51.DH1E5.CRAC01.ALARM",""," -Virtual-","(GEN ALARM OUTPUT)","ALARM",""," *A3ACK*   BN15"
"SYD51.DH1E5.CRAC01.SF.ALM",""," -Virtual-","(FAN ALARM       )","ALARM",""," *A3ACK*   BN15"
"SYD51.DH2A1.04.IAQ.COPPER","","0 09 02","(CORROSION COPPER)"," -999",""," *A6ACKF*  NONE"
"SYD51.DH2A1.04.IAQ.RMH","","0 09 06","(CORROSION HUM   )"," -25.0","rh"," *A3ACKF*  NONE"
"SYD51.DH2A1.04.IAQ.SILVER","","0 09 04","(CORROSION SILVER)"," -993",""," *A6ACKF*  NONE"
"SYD51.FIRE.ISO","","0 21 16","(ISOLATION SWITCH)","ALARM",""," *A3ACK*   NONE"
"SYD51.DH2A2.07.IAQ.COPPER","","0 09 02","(CORROSION COPPER)","3958",""," *A6ACK*   NONE"
"SYD51.DH2A4.13.IAQ.COPPER","","0 09 02","(CORROSION COPPER)","3965",""," *A6ACK*   NONE"
"SYD51.DH2A4.13.IAQ.SILVER","","0 09 04","(CORROSION SILVER)","3953",""," *A6ACK*   NONE"
"SYD51.DH2E2.01.IAQ.SILVER","","0 11 02","(CORROSION SILVER)","3952",""," *A6ACK*   NONE"
"SYD51.DH2E3.01.IAQ.RMH","","0 11 04","(CORROSION HUM   )","19.9","rh"," *A3ACK*   NONE"
"SYD51.DH2E3.01.IAQ.SILVER","","0 11 02","(CORROSION SILVER)","3802",""," *A6ACK*   NONE"
"SYD51.DH2E3.03.ZNT","","0 11 08","(ROOM 3 TEMP 3   )","34.5","DEG C"," *O*       NONE"
"SYD51.M2E7.CRH.SAT.SPT.I","","0 01 04","(SETPOINT        )"," -0.8","DEG C"," *A3ACKF*  NONE"
" ****************************************************************************************************"
" ****************************************** End of Report *******************************************"
